prob,alg,cost,ok,retcode,nsteps,t_ms
NZF1,Dogleg (old default),6.740609201970043e-24,true,Success,6,0.11903899999999999
NZF1,Moré (new default),1.503766100577554e-30,true,Success,7,0.459507
mgh01,Dogleg (old default),0.0,true,Success,20,0.05355
mgh01,Moré (new default),0.0,true,Success,24,0.364047
mgh02,Dogleg (old default),24.49212683962,true,StalledSuccess,73,0.123679
mgh02,Moré (new default),24.492126839619996,true,StalledSuccess,69,1.227611
mgh03,Dogleg (old default),5.0063982341978876e-24,true,Success,52,0.112399
mgh03,Moré (new default),9.289147223221401e-23,true,Success,44,0.509706
mgh04,Dogleg (old default),3.52624768938671e-26,true,Success,8,0.06622900000000001
mgh04,Moré (new default),3.9370503442403135e-21,true,Success,21,0.23919800000000002
mgh05,Dogleg (old default),2.4222713356086973e-23,true,Success,9,0.08047
mgh05,Moré (new default),2.465190328815662e-32,true,Success,8,0.108629
mgh06,Dogleg (old default),62.18109117780741,true,StalledSuccess,62,0.371767
mgh06,Moré (new default),62.1810911778074,true,StalledSuccess,60,1.2997
mgh07,Dogleg (old default),1.3142460634166644e-21,true,Success,9,0.045349999999999994
mgh07,Moré (new default),1.0073742961912592e-18,true,Success,15,0.299908
mgh08,Dogleg (old default),0.004107438653289481,true,StalledSuccess,38,0.23274799999999998
mgh08,Moré (new default),0.00410743865328948,true,StalledSuccess,38,1.1724210000000002
mgh09,Dogleg (old default),5.639663848092511e-9,true,StalledSuccess,34,0.208109
mgh09,Moré (new default),5.639663848093635e-9,true,StalledSuccess,34,1.190551
mgh10,Dogleg (old default),43.97292758509842,true,StalledSuccess,92,0.7426550000000001
mgh10,Moré (new default),43.972927585134634,true,StalledSuccess,190,4.877824
mgh11,Dogleg (old default),0.4034352777462066,true,StalledSuccess,248,13.724488
mgh11,Moré (new default),0.40343527774620663,true,StalledSuccess,143,10.915519
mgh12,Dogleg (old default),5.186914526223704e-29,true,Success,11,0.166159
mgh12,Moré (new default),5.679311469236212e-20,true,Success,5,0.09615
mgh13,Dogleg (old default),4.9475613881094114e-18,true,Success,16,0.05484
mgh13,Moré (new default),1.4311468676810812e-17,true,Success,15,0.14635900000000002
mgh14,Dogleg (old default),1.61948801971602e-18,true,Success,78,0.551976
mgh14,Moré (new default),1.5653958587979453e-30,true,Success,71,1.094002
mgh15,Dogleg (old default),0.00015375280192461867,true,StalledSuccess,68,0.594506
mgh15,Moré (new default),0.00015375280192461832,true,StalledSuccess,68,1.768247
mgh16,Dogleg (old default),42911.100813178324,true,StalledSuccess,329,5.645398
mgh16,Moré (new default),42911.10081317813,true,StalledSuccess,75,3.010637
mgh17,Dogleg (old default),2.7324473487413314e-5,true,StalledSuccess,41,0.6292449999999999
mgh17,Moré (new default),2.732447348741311e-5,true,StalledSuccess,58,3.7026429999999997
